id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
151,2024-07-29 22:20:35.186093,5.9,3.0,5.1,1.8,2
150,2024-07-29 22:20:34.181200,6.2,3.4,5.4,2.3,2
149,2024-07-29 22:20:33.177024,6.5,3.0,5.2,2.0,2
148,2024-07-29 22:20:32.162709,6.3,2.5,5.0,1.9,2
147,2024-07-29 22:20:31.149079,6.7,3.0,5.2,2.3,2
146,2024-07-29 22:20:30.133195,6.7,3.3,5.7,2.5,2
145,2024-07-29 22:20:29.128156,6.8,3.2,5.9,2.3,2
144,2024-07-29 22:20:28.114714,5.8,2.7,5.1,1.9,2
143,2024-07-29 22:20:27.101058,6.9,3.1,5.1,2.3,2
142,2024-07-29 22:20:26.086311,6.7,3.1,5.6,2.4,2
141,2024-07-29 22:20:25.075605,6.9,3.1,5.4,2.1,2
140,2024-07-29 22:20:24.060277,6.0,3.0,4.8,1.8,2
139,2024-07-29 22:20:23.047983,6.4,3.1,5.5,1.8,2
138,2024-07-29 22:20:22.034518,6.3,3.4,5.6,2.4,2
137,2024-07-29 22:20:21.030507,7.7,3.0,6.1,2.3,2
136,2024-07-29 22:20:20.018460,6.1,2.6,5.6,1.4,2
135,2024-07-29 22:20:19.006611,6.3,2.8,5.1,1.5,2
134,2024-07-29 22:20:17.993871,6.4,2.8,5.6,2.2,2
133,2024-07-29 22:20:16.974481,7.9,3.8,6.4,2.0,2
132,2024-07-29 22:20:15.958930,7.4,2.8,6.1,1.9,2
131,2024-07-29 22:20:14.944467,7.2,3.0,5.8,1.6,2
130,2024-07-29 22:20:13.928209,6.4,2.8,5.6,2.1,2
129,2024-07-29 22:20:12.909520,6.1,3.0,4.9,1.8,2
128,2024-07-29 22:20:11.891330,6.2,2.8,4.8,1.8,2
127,2024-07-29 22:20:10.879699,7.2,3.2,6.0,1.8,2
126,2024-07-29 22:20:09.874273,6.7,3.3,5.7,2.1,2
125,2024-07-29 22:20:08.870740,6.3,2.7,4.9,1.8,2
124,2024-07-29 22:20:07.855646,7.7,2.8,6.7,2.0,2
123,2024-07-29 22:20:06.852094,5.6,2.8,4.9,2.0,2
122,2024-07-29 22:20:05.838803,6.9,3.2,5.7,2.3,2
121,2024-07-29 22:20:04.824342,6.0,2.2,5.0,1.5,2
120,2024-07-29 22:20:03.819674,7.7,2.6,6.9,2.3,2
119,2024-07-29 22:20:02.816470,7.7,3.8,6.7,2.2,2
118,2024-07-29 22:20:01.813739,6.5,3.0,5.5,1.8,2
117,2024-07-29 22:20:00.801790,6.4,3.2,5.3,2.3,2
116,2024-07-29 22:19:59.789530,5.8,2.8,5.1,2.4,2
115,2024-07-29 22:19:58.785854,5.7,2.5,5.0,2.0,2
114,2024-07-29 22:19:57.780747,6.8,3.0,5.5,2.1,2
113,2024-07-29 22:19:56.765604,6.4,2.7,5.3,1.9,2
112,2024-07-29 22:19:55.750235,6.5,3.2,5.1,2.0,2
111,2024-07-29 22:19:54.738712,7.2,3.6,6.1,2.5,2
110,2024-07-29 22:19:53.735984,6.7,2.5,5.8,1.8,2
109,2024-07-29 22:19:52.732106,7.3,2.9,6.3,1.8,2
108,2024-07-29 22:19:51.727106,4.9,2.5,4.5,1.7,2
107,2024-07-29 22:19:50.722207,7.6,3.0,6.6,2.1,2
106,2024-07-29 22:19:49.708423,6.5,3.0,5.8,2.2,2
105,2024-07-29 22:19:48.696160,6.3,2.9,5.6,1.8,2
104,2024-07-29 22:19:47.682182,7.1,3.0,5.9,2.1,2
103,2024-07-29 22:19:46.666306,5.8,2.7,5.1,1.9,2
102,2024-07-29 22:19:45.651760,6.3,3.3,6.0,2.5,2
101,2024-07-29 22:19:44.636482,5.7,2.8,4.1,1.3,1
100,2024-07-29 22:19:43.623855,5.1,2.5,3.0,1.1,1
99,2024-07-29 22:19:42.620802,6.2,2.9,4.3,1.3,1
98,2024-07-29 22:19:41.616964,5.7,2.9,4.2,1.3,1
97,2024-07-29 22:19:40.604673,5.7,3.0,4.2,1.2,1
96,2024-07-29 22:19:39.592043,5.6,2.7,4.2,1.3,1
95,2024-07-29 22:19:38.585000,5.0,2.3,3.3,1.0,1
94,2024-07-29 22:19:37.571020,5.8,2.6,4.0,1.2,1
93,2024-07-29 22:19:36.556534,6.1,3.0,4.6,1.4,1
92,2024-07-29 22:19:35.541530,5.5,2.6,4.4,1.2,1
